parameters_m,FP32_MB,FP32_MiB,FP16_MB,FP16_MiB,INT8_MB,INT8_MiB,INT4 ideal_MB,INT4 ideal_MiB,INT4 group est._MB,INT4 group est._MiB,Mixed 25% FP16 / 75% INT4_MB,Mixed 25% FP16 / 75% INT4_MiB
10,40.0,38.14697265625,20.0,19.073486328125,10.0,9.5367431640625,5.0,4.76837158203125,5.625,5.364418029785156,8.75,8.344650268554688
20,80.0,76.2939453125,40.0,38.14697265625,20.0,19.073486328125,10.0,9.5367431640625,11.25,10.728836059570312,17.5,16.689300537109375
30,120.0,114.44091796875,60.0,57.220458984375,30.0,28.6102294921875,15.0,14.30511474609375,16.875,16.09325408935547,26.25,25.033950805664062
50,200.0,190.73486328125,100.0,95.367431640625,50.0,47.6837158203125,25.0,23.84185791015625,28.125,26.82209014892578,43.75,41.72325134277344
75,300.0,286.102294921875,150.0,143.0511474609375,75.0,71.52557373046875,37.5,35.762786865234375,42.1875,40.23313522338867,65.625,62.584877014160156
100,400.0,381.4697265625,200.0,190.73486328125,100.0,95.367431640625,50.0,47.6837158203125,56.25,53.64418029785156,87.5,83.44650268554688
150,600.0,572.20458984375,300.0,286.102294921875,150.0,143.0511474609375,75.0,71.52557373046875,84.375,80.46627044677734,131.25,125.16975402832031
